source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B3,1,B4,combined,RandomForest,40,20,3.9394360319720905,3.2687500000000016,0.9811889015151515,False
B3,1,B5,combined,RandomForest,40,20,4.2886951686964165,2.881249999999999,0.9777055681818182,False
B4,1,B1,combined,RandomForest,20,40,14.541669114135418,11.211875,0.743684678030303,False
B4,1,B2,combined,RandomForest,20,40,10.76198096890159,8.125625,0.859611837121212,False
B4,1,B3,combined,RandomForest,20,40,9.988353374055205,8.465625,0.8790700568181818,False
B4,1,B5,combined,RandomForest,20,20,11.906425523640584,8.936250000000001,0.8281660984848485,False
B5,1,B1,combined,RandomForest,20,40,11.150910837236571,8.33125,0.8492814393939394,True
B5,1,B2,combined,RandomForest,20,40,6.596389874393415,5.125624999999998,0.9472577462121212,True
B5,1,B3,combined,RandomForest,20,40,6.040131414133305,4.840000000000001,0.9557779545454546,True
B5,1,B4,combined,RandomForest,20,20,5.983519031473034,4.717499999999999,0.9566030303030303,True
B1,1,B2,combined,XGBoost,40,40,12.959916898385273,9.413011837005616,0.7964127927114519,False
B1,1,B3,combined,XGBoost,40,40,10.638280459795178,7.928751730918885,0.8628205925560486,False
B1,1,B4,combined,XGBoost,40,20,4.873769924027321,3.5497974395751952,0.9712077172456324,False
B1,1,B5,combined,XGBoost,40,20,13.920295886953667,10.042584419250488,0.7651216514177707,False
B2,1,B1,combined,XGBoost,40,40,9.53421447452842,7.6463381290435795,0.88981667194387,False
B2,1,B3,combined,XGBoost,40,40,6.604410196392467,5.0768756628036495,0.9471294132821663,False
B2,1,B4,combined,XGBoost,40,20,7.6999846187641205,5.794097995758056,0.9281336204494497,False
B2,1,B5,combined,XGBoost,40,20,4.834105469117505,3.160089111328125,0.9716744537132705,False
B3,1,B1,combined,XGBoost,40,40,14.513548897834458,11.674482226371765,0.7446750283517191,False
B3,1,B2,combined,XGBoost,40,40,11.53903447211168,9.52336745262146,0.8386068890320222,False
B3,1,B4,combined,XGBoost,40,20,14.382290077908776,11.955978775024414,0.7492724025634991,False
B3,1,B5,combined,XGBoost,40,20,8.092360541534216,7.075446557998657,0.9206226677161455,False
B4,1,B1,combined,XGBoost,20,40,8.085073560722597,6.4310633659362795,0.9207655582032781,False
B4,1,B2,combined,XGBoost,20,40,8.94894061654658,6.362487268447876,0.9029290446563915,False
B4,1,B3,combined,XGBoost,20,40,11.344150846073756,9.46489429473877,0.844012414038211,False
B4,1,B5,combined,XGBoost,20,20,13.540505244402052,9.94769515991211,0.7777632942137218,False
B5,1,B1,combined,XGBoost,20,40,10.36056333868351,8.111337733268737,0.8698893664304572,True
B5,1,B2,combined,XGBoost,20,40,6.970310176610358,5.1257376909255985,0.9411088194446571,True
B5,1,B3,combined,XGBoost,20,40,19.751441780998395,15.131135749816895,0.5271279364507042,True
B5,1,B4,combined,XGBoost,20,20,8.087569980036152,6.113178157806397,0.9207166203854764,True
