model_context,feature,importance_mean,importance_std
source_high_subset,s7_raw_min,0.011569390900573212,0.0046896839827652945
source_high_subset,s7_raw_max,0.00025488536155211794,0.00013173262928196694
source_high_subset,s7_phys_baseline_mean,0.0007845692331717308,0.0003215644734547552
source_high_subset,s7_phys_minimum_response,0.005005716963367199,0.001877906610748304
source_high_subset,s7_phys_normalized_response,0.006655175551605691,0.0021141545404035718
source_high_subset,s7_phys_rs_r0_min,0.014738587489895844,0.003071320539017428
source_high_subset,s7_phys_response_magnitude,0.00039099841315767825,0.00035012057161610134
source_high_subset,s7_phys_recovery_slope,0.004565520844815499,0.0009742244559548813
source_high_subset,s7_phys_derivative_min,0.002738640723747063,0.0012775898281140094
source_high_subset,s7_phys_derivative_max,0.0014067152134773914,0.00038604460041202174
source_high_subset,s8_raw_min,0.001234077649636331,0.0004427095327234152
source_high_subset,s8_raw_max,0.0015061036706348896,0.000693003698607557
source_high_subset,s8_phys_baseline_mean,0.004700617412551372,0.0009998894653473567
source_high_subset,s8_phys_minimum_response,0.0018392722686104146,0.0006611927642460116
source_high_subset,s8_phys_normalized_response,0.0022210955412256816,0.00048181128009727443
source_high_subset,s8_phys_rs_r0_min,0.0017257516718107019,0.0008347450092517801
source_high_subset,s8_phys_response_magnitude,0.012365378894767826,0.003526831476832044
source_high_subset,s8_phys_recovery_slope,0.0035886806634883722,0.00042847206254140283
source_high_subset,s8_phys_derivative_min,0.002307966556896676,0.0009740606896590367
source_high_subset,s8_phys_derivative_max,0.0013888745935295432,0.0006780604187017817
